company,day,com_id,jnf_id,jnf_str,company_fullname
SRI NOIDA,Day-3,67,2,2,"Samsung R&D Institute India, Noida"
STERLITE,Day-3,552,1,1,STERLITE TECHNOLOGIES LIMITED
SWIGGY,Day-3,24,3,3,SWIGGY
UBS,Day-3,53,1,1,UBS
ANAND & ANAND,Day-4,600,1,1,ANAND & ANAND
APPLIED MATERIALS(APPLICATIONS),Day-4,329,1,1,APPLIED MATERIALS
APPLIED MATERIALS(MECH),Day-4,329,2,2,APPLIED MATERIALS
ATHER ENERGY,Day-4,226,,,Ather Energy
CAPILLARY TECHNOLOGIES,Day-4,271,1,1,CAPILLARY TECHNOLOGIES
EMBIBE SDE,Day-4,703,1,1,EMBIBE.COM (INDIAVIDUAL LEARNING)
EMBIBE SDET,Day-4,703,3,3,EMBIBE.COM (INDIAVIDUAL LEARNING)
EXPERIAN,Day-4,336,2,2,EXPERIAN
EXXONMOBIL,Day-4,343,,,ExxonMobil
EY GDS,Day-4,620,2,2,EY GDS
IDFC,Day-4,723,1,1,IDFC FIRST BANK
KONICA MINOLTA,Day-4,513,1,1,KONICA MINOLTA
RELIANCE JIO INFOCOM LIMITED,Day-4,461,2,2,RELIANCE JIO INFOCOM LIMITED
REMFRY & SAGAR,Day-4,417,,,REMFRY & SAGAR
SOU JAPAN,Day-4,583,1,1,SOU JAPAN
STANDARD CHARTERED,Day-4,123,1,1,STANDARD CHARTERED GBS INDIA PVT LTD
SYNOPSYS,Day-4,445,,,SYNOPSYS INDIA (P) LIMITED
TATA STEEL,Day-4,402,,,TATA STEEL
TCG DIGITAL,Day-4,212,3,3,TCG DIGITAL SOLUTIONS PVT LTD
TURTLEMINT,Day-4,568,1,1,TURTLEMINT
UDAAN (OPS),Day-4,158,5,5,UDAAN
UDAAN (SDE),Day-4,158,3,3,UDAAN
VEDANTA LIMITED,Day-4,558,1,1,VEDANTA LIMITED
ZILINGO,Day-4,529,1,1,ZILINGO FUNLINE PRIVATE LIMITED
ZS ASSOCIATES,Day-4,306,1,1,ZS ASSOCIATES
AMAZON (OPS),Day-5,18,5,5,AMAZON INDIA
ARTH DESIGN,Day-5,246,3,3,ARTH DESIGN BUILD INDIA PVT LTD
AXTRIA,Day-5,71,1,1,AXTRIA INDIA PVT. LTD.
AXXELA,Day-5,108,1,1,Axxela Advisory Services
COLLINS,Day-5,338,1,1,Collins Aerospace
DASSAULT,Day-5,674,1,1,Dassault Systemes Solutions Lab Pvt. Ltd.
DELHIVERY,Day-5,78,2,2,DELHIVERY
DISHMAN,Day-5,,,,
FUTUREFIRST,Day-5,341,1,1,
GENERAL MILLS,Day-5,104,1,1,GENERAL MILLS
GENPACT,Day-5,296,1,1,GENPACT
HSBC EDPI,Day-5,462,1,1,HSBC
INFOWORKS,Day-5,378,1,1,INFOWORKS DATA PVT LTD
JOHNSON  MATTHEY,Day-5,685,1,1,Johnson Matthey Chemicals India Private Limited
KLA TENCOR,Day-5,132,,,KLA TENCOR
LTI,Day-5,273,2,2,L&T Infotech
QUANTIPHI,Day-5,191,1,1,QUANTIPHI ANALYTICS SOLUTIONS PVT. LTD.
R.BOSCH,Day-5,505,1,1,Robert Bosch Engineering and Business Solutions Private Limited
RELIANCE INDUSTRIES LIMITED,Day-5,433,1,1,RELIANCE INDUSTRIES LIMITED
TATA PROJECTS,Day-5,153,1,1,TATA PROJECTS
XILINX,Day-5,353,,1_2,XILINX INDIA TECHNOLOGY SERVICES PRIVATE LIMITED
ZS,Day-5,366,2,2,ZS ASSOCIATES
ADITYA IMAGING,Day-6,235,1,1,ADITYA IMAGING INFORMATION TECHNOLOGIES (DBA AIRA MATRIX)
AWL,Day-6,82,2,2,AWL INC.
BEKAERT INDUSTRIES,Day-6,442,2,2,Bekaert Industries Pvt. Ltd
BRILLIO,Day-6,22,4,4,BRILLIO TECHNOLOGIES
FPL,Day-6,572,1,1,FPL
HCL,Day-6,500,1,1,HCL TECHNOLOGIES
HSBC TECH,Day-6,506,1,1,HSBC TECHNOLOGY INDIA
JINDAL STAINLESS LTD,Day-6,419,1,1,
LOADSHARE,Day-6,269,1,1,LOADSHARE NETWORKS
PWC,Day-6,72,3,3,
ROLLS ROYCE,Day-6,726,1,1,
SCHNEIDER ELECTRIC,Day-6,523,3,3,SCHNEIDER ELECTRIC
SIGMOID,Day-6,66,1,1,SIGMOID
TVS CREDIT,Day-6,607,1,1,TVS CREDIT SERVICES LIMITED
TVS MOTORS,Day-6,480,,,
ZESTMONEY,Day-6,498,1,1,ZESTMONEY
ZESTMONEY (APM),Day-6,498,4,4,ZESTMONEY
ADROSONIC,Day-7,31,1,1,ADROSONIC IT CONSULTANCY SERVICES PVT LTD
ALTAIR,Day-7,492,1,1,ALTAIR ENGINEERING
CAPGEMINI,Day-7,75,1,1,CAPGEMINI TECHNOLOGY SERVICES INDIA LTD
CBS TECHNO,Day-7,497,1,1,
VCONSTRUCT,Day-7,589,1,1,
WIPRO,Day-7,290,1,1,
ZINIER,Day-7,105,1,1,ZINIER
ARC,Day-8,345,1,1,
BRIDGEI2I,Day-8,648,1,1,BRIDGEI2I ANALYTICS SOLUTIONS
DUNNHUNBY,Day-8,644,,1_2,
EAGLEVIEW,Day-8,639,1,1,APMSE SOFTWARE SERVICES PVT. LTD. - EAGLEVIEW
INDIAN PAC,Day-8,631,1,1,INDIAN PAC CONSULTING PVT LTD
L&T,Day-8,493,,1_2,
MERILYTICS,Day-8,77,1,1,MERILYTICS
SRI CHAITANYA,Day-8,318,1,1,SRI CHAITANYA EDUCATIONAL INSTITUTIONS
UNIWORKS,Day-8,473,3,3,UNIWORKS DESIGNS PVT. LTD
BEEHYV,Day-9,299,2,2,BEEHYV SOFTWARE SOLUTIONS PVT LTD
BYJU'S,Day-9,85,1,1,BYJU'S - THE LEARNING APP
CAPITAL DYNAMICS,Day-9,155,1,1,CAPITAL DYNAMICS GROUP
DELTA ELECTRONICS,Day-9,215,,1_2,
ENQUERO GLOBAL,Day-9,194,1,1,ENQUERO GLOBAL
GLOBAL ANALYTICS,Day-9,242,1,1,GLOBAL ANALYTICS INDIA PVT LTD
JDA SOFTWARE,Day-9,663,1,1,JDA SOFTWARE
L&T CONSTRUCTIONS,Day-9,493,3,3,
Log9,Day-9,539,1,1,
MAHINDRA & MAHINDRA,Day-9,525,1,1,
UNITED LEX,Day-9,241,1,1,
VEDANTU,Day-9,393,1,1,VEDANTU INNOVATIONS PVT LTD
VEHERE,Day-9,99,2,2,VEHERE INTERACTIVE
VEM TECHNOLOGIES,Day-9,567,,,
AIR LIQUIDE,Day-10,,,,
CHADHA AND CHADHA,Day-10,603,1,1,
COLLEGEDOORS,Day-10,404,1,1,COLLEGEDOORS (SESHAT TECHNOLOGIES PVT. LTD.)
CUBASTION CONSULTING,Day-10,301,1,1,CUBASTION CONSULTING PVT LTD
GREEN POINT,Day-10,371,1,1,GREEN POINT TECHNOLOGY SERVICES (INDIA) PVT LTD - [TOMORROW'S GENIUS]
INSTITUTE OF ENGINEERING & MANAGEMENT,Day-10,183,2,2,INSTITUTE OF ENGINEERING & MANAGEMENT
PERSISTENT,Day-10,163,1,1,PERSISTENT SYSTEMS LIMITED
TCS,Day-10,110,1,1,TATA CONSULTANCY SERVICES. - TCS
TOTAL ENVIRONMENT,Day-10,407,,,
VEM TECHNOLOGIES,Day-10,567,,,
VIDYAMANDIR CLASSES,Day-10,679,1,1,VIDYAMANDIR CLASSES
ZEMOSO,Day-10,412,1,1,ZEMOSO TECHNOLOGIES PVT LTD
BALAJEE EDUCATION PVT LTD,Day-11,531,1,1,BALAJEE EDUCATION PVT LTD
INDIAN REGISTER OF SHIPPING,Day-11,704,1,1,
PATHFINDER GROUP OF INSTITUTIONS,Day-11,557,1,1,
